Date,fips,vaccine
11-30-2021,38077,7678
11-30-2021,29155,4438
11-30-2021,25015,97438
11-30-2021,26027,20741
11-30-2021,55133,259056
11-30-2021,26121,88555
11-30-2021,31067,8618
11-30-2021,55045,21676
11-30-2021,51111,5617
11-30-2021,13213,6838
11-30-2021,45061,6398
11-30-2021,30041,9651
11-30-2021,47145,22359
11-30-2021,27023,5758
11-30-2021,48051,8354
11-30-2021,22061,18442
11-30-2021,19063,4432
11-30-2021,29157,7103
11-30-2021,25001,11797
11-30-2021,31073,733
11-30-2021,37019,81639
11-30-2021,50023,24711
11-30-2021,26071,5927
11-30-2021,31095,3608
11-30-2021,55055,44559
11-30-2021,46093,14319
11-30-2021,48175,2977
11-30-2021,36083,102767
11-30-2021,47039,4148
11-30-2021,38099,5494
11-30-2021,54049,5212
11-30-2021,31161,1543
11-30-2021,48371,8336
11-30-2021,47129,10351
11-30-2021,18107,16332
11-30-2021,48475,4095
11-30-2021,26097,7691
11-30-2021,38033,488
11-30-2021,49025,3636
11-30-2021,13223,35641
11-30-2021,54089,2322
11-30-2021,51540,22842
11-30-2021,56001,19066
11-30-2021,30007,1904
11-30-2021,19055,8580
11-30-2021,41047,201311
11-30-2021,28149,24024
11-30-2021,20107,3203
11-30-2021,37119,626677
11-30-2021,54003,37654
11-30-2021,45037,15013
11-30-2021,46009,3713
11-30-2021,12095,879680
11-30-2021,28077,6375
11-30-2021,38025,977
11-30-2021,29091,12250
11-30-2021,30101,2021
11-30-2021,17119,147752
11-30-2021,48263,278
11-30-2021,32019,21994
11-30-2021,22081,2812
11-30-2021,51035,9461
11-30-2021,36107,26886
11-30-2021,39137,15259
11-30-2021,32011,506
11-30-2021,21087,4377
11-30-2021,19177,2791
11-30-2021,6025,130852
11-30-2021,30085,6625
11-30-2021,46049,1166
11-30-2021,40021,20548
11-30-2021,56041,8893
11-30-2021,26161,245629
11-30-2021,39147,24912
11-30-2021,55025,409819
11-30-2021,17139,5900
11-30-2021,51057,4914
11-30-2021,41007,24687
11-30-2021,40009,8363
11-30-2021,48391,3506
11-30-2021,5021,6183
11-30-2021,12053,99060
11-30-2021,8037,41461
11-30-2021,22011,11681
11-30-2021,24015,54398
11-30-2021,18065,23370
11-30-2021,18139,7285
11-30-2021,36031,24434
11-30-2021,47101,4097
11-30-2021,22017,106567
11-30-2021,18115,4153
11-30-2021,55095,20607
11-30-2021,47085,7252
11-30-2021,6007,106907
11-30-2021,6029,418970
11-30-2021,18097,491927
11-30-2021,37199,8527
11-30-2021,16037,1831
11-30-2021,40011,4083
11-30-2021,1085,4285
11-30-2021,40015,16777
11-30-2021,13263,1930
11-30-2021,6097,346821
11-30-2021,54099,12259
